μῆνιν|μῆνις
ἀπεόντων|ἄπειμι
ὑγιὴς|ὑγιής
εἰρημένος|ἐρῶ
ἐξελάαν|ἐξελαύνω
ἐνθένδε|ἐνθένδε
κηρεσσιφορήτους|κηρεσσιφόρητος
φυλάξομεν|φυλάζω
ἀπώσεται|ἀπωθέω
φέρωμαι|φέρω
διαείσεται|διαείδω
μείνῃ|μένω
κείσεται|κεῖμαι
οὐτηθείς|οὐτάω
ἀγήρως|ἀγήραος
ἱδρώοντας|ἱδρόω
ἱμάντεσσι|ἱμάς
ἄξοντο|ἄγω
εἴατο|εἰμί
νήνεμος|νήνεμος
γέγηθε|γηθέω
σέλᾳ|σέλας
ἐΰθρονον|εὔθρονος
θεσπεσίη|θεσπέσιος
φύζα|φύζα
κρυόεντος|κρυόεις
ἑταίρη|ἑταίρα
ἀτλήτῳ|ἄτλητος
βεβολήατο|βεβόλημαι
ὀρίνετον|ὀρίνω
Θρῄκηθεν|Θρῄκηθεν
κορθύεται|κορθύνω
φῦκος|φῦκος
βεβολημένος|βεβόλημαι
κλήδην|κλήδην
κικλήσκειν|κικλήσκω
βοᾶν|βοάω
πονεῖτο|πονέω
τετιηότες|τετίημαι
ἀφραδέοντι|ἀφραδέω
χολωθῇς|χολόω
ὀνείδισας|ὀνειδίζω
φὰς|φημί
ἀπτόλεμον|ἀπόλεμος
ἴσασ̓|οἶδα
ἔλπεαι|ἔλπω
ἀπτολέμους|ἀπόλεμος
πάρ|παρά
Μυκήνηθεν|Μυκήνηθεν
μενέουσι|μένω
διαπέρσομεν|διαπέρθω
εὕρωμεν|εὑρίσκω
εἰλήλουθμεν|ἔρχομαι
ὁμήλικας|ὁμῆλιξ
ὀνόσσεται|ὄνομαι
εἴης|εἰμί
ὁπλότατος|ὁπλότατος
γενεῆφιν|γενεά
ἐξείπω|ἐξεῖπον
διίξομαι|διικνέομαι
ἀτιμήσεἰ|ἀτιμάω
ἀφρήτωρ|ἀφρήτωρ
ἀθέμιστος|ἀθέμιστος
ἀνέστιός|ἀνέστιος
ἔραται|ἔραμαι
ἐπιδημίου|ἐπιδήμιος
ὀκρυόεντος|ὀκρυόεις
λεξάσθων|λέγω
κούροισιν|κόρος
βασιλεύτατός|βασίλειος
ἔοικέ|ἔοικα
ἀεικές|ἀεικής
ἠμάτιαι|ἠμάτιος
πᾶσά|πᾶς
ὑποδεξίη|ὑποδεξίη
ἀγρομένων|ἀγείρω
πείσεαι|πείθω
βουλεύσῃ|βουλεύω
καίουσιν|καίω
γηθήσειε|γηθέω
ἧδ̓|ὅδε
διαρραίσει|διαρραίω
Νεστορίδην|Νεστορίδης
Ἰάλμενον|Ἰάλμενος
Κρείοντος|Κρείων
στεῖχον|στείχω
κήαντο|καίω
ἀολλέας|ἀολλής
ἄρξομαι|ἄρχω
βουλεύῃσθα|βουλεύω
ἐπακοῦσαι|ἐπακούω
κρηῆναι|κραίνω
ἕξεται|ἔχω
ἄρχῃ|ἄρχω
νοήσει|νοέω
χωομένου|χώομαι
ἔβης|βαίνω
ἀπεμυθεόμην|ἀπομυθέομαι
φέριστον|φέριστος
ἔτισαν|τίνω
ἠτίμησας|ἀτιμάω
φραζώμεσθ̓|φράζω
ἀρεσσάμενοι|ἀρέσκω
πεπίθωμεν|πείθω
δώροισίν|δῶρον
ἀγανοῖσιν|ἀγανός
ἀναίνομαι|ἀναίνομαι
φιλήσῃ|φιλέω
ἔτισε|τίνω
λευγαλέῃσι|λευγαλέος
ἀπύρους|ἄπυρος
πηγοὺς|πηγός
ἀθλοφόρους|ἀθλοφόρος
ἄροντο|αἴρω
ἀλήϊος|ἀλήιος
ἀκτήμων|ἀκτήμων
ἐριτίμοιο|ἐρίτιμος
ἠνείκαντο|φέρω
Λεσβίδας|Λεσβίς
Λέσβον|Λέσβος
ἐξελόμην|ἐξαιρέω
ἐνίκων|νικάω
δώωσ̓|δίδωμι
ἀλαπάξαι|ἀλαπάζω
νηησάσθω|νηέω
εἰσελθών|εἰσέρχομαι
δατεώμεθα|δατέομαι
ληΐδ̓|ληίς
ἑλέσθω|αἱρέω
κάλλισται|καλός
ἔωσιν|εἰμί
ἱκοίμεθ̓|ἱκνέομαι
οὖθαρ|οὖθαρ
γαμβρός|γαμβρός
τίσω|τίω
Ὀρέστῃ|Ὀρέστης
τηλύγετος|τηλύγετος
θαλίῃ|θαλία
Χρυσόθεμις|Χρυσόθεμις
Λαοδίκη|Λαοδίκη
Ἰφιάνασσα|Ἰφιάνασσα
μείλια|μείλια
ἐπέδωκε|ἐπιδίδωμι
θυγατρί|θυγάτηρ
ναιόμενα|ναίω
πτολίεθρα|πτολίεθρον
Καρδαμύλην|Καρδαμύλη
Ἐνόπην|Ἐνόπη
Ἱρὴν|Ἱρή
ποιήεσσαν|ποιήεις
Φηράς|Φηραί
ζαθέας|ζάθεος
Ἄνθειαν|Ἄνθεια
βαθύλειμον|βαθύλειμος
Αἴπειαν|Αἴπεια
νέαται|νέατος
πολύρρηνες|πολύρρηνος
πολυβοῦται|πολυβούτης
δωτίνῃσι|δωτίνη
λιπαρὰς|λιπαρός
τελέσαιμι|τελέω
μεταλήξαντι|μεταλήγω
δμηθήτω|δαμάζω
ἀμείλιχος|ἀμείλιχος
ἀδάμαστος|ἀδάμαστος
ὑποστήτω|ὑφίστημι
ὀνοστὰ|ὀνοστός
διδοῖς|δίδωμι
κλητοὺς|κλητός
ὀτρύνομεν|ὀτρύνω
ἔλθωσ̓|ἔρχομαι
ἐπιόψομαι|ἐφοράω
πιθέσθων|πείθω
ἡγησάσθω|ἡγέομαι
ἑπέσθων|ἕπομαι
φέρτε|φέρω
εὐφημῆσαί|εὐφημέω
Κρονίδῃ|Κρονίδης
ἀρησόμεθ̓|ἀράομαι
ἑαδότα|ἁνδάνω
σπεῖσάν|σπένδω
ἔπιόν|πίνω
ὁρμῶντ̓|ὁρμάω
δενδίλλων|δενδίλλω
εὐχομένω|εὔχομαι
πεπιθεῖν|πείθω
τερπόμενον|τέρπω
δαιδαλέῃ|δαιδάλεος
ἔτερπεν|τέρπω
κλέα|κλέος
λήξειεν|λήγω
ἀείδων|ἀείδω
θάασσεν|θαάσσω
χαίρετον|χαίρω
ἱκάνετον|ἱκάνω
σκυζομένῳ|σκύζομαι
φίλτατοί|φίλτατος
ἐστον|εἰμί
τάπησί|τάπης
πορφυρέοισιν|πορφύρεος
καθίστα|καθίστημι
ζωρότερον|ζωρός
κέραιε|κεραίω
ἔντυνον|ἐντύνω
φίλτατοι|φίλτατος
ὑπέασι|ὕπειμι
μελάθρῳ|μέλαθρον
κρεῖον|κρεῖον
ἔθηκ̓|τίθημι
ὄϊος|ὄις
αἰγός|αἴξ
ῥάχιν|ῥάχις
τεθαλυῖαν|θάλλω
τάμνεν|τέμνω
μίστυλλε|μιστύλλω
ἔπειρε|πείρω
ἐκάη|καίω
ἐμαράνθη|μαραίνω
ἀνθρακιὴν|ἀνθρακιά
στορέσας|στορέννυμι
ὀβελοὺς|ὀβελός
τάνυσσε|τανύω
κρατευτάων|κρατευταί
ὤπτησε|ὀπτάω
ἐλεοῖσιν|ἐλεός
ἷζεν|ἵζω
θῦσαι|θύω
θυηλάς|θυηλή
νεῦσ̓|νεύω
πλησάμενος|πίμπλημι
δείδεκτ̓|δέχομαι
χαῖῤ|χαίρω
δαίνυσθ̓|δαίνυμι
ἐπηράτου|ἐπήρατος
δοιῇ|δοιή
δύσεαι|δύω
αὖλιν|αὖλις
κηάμενοι|καίω
ἀστράπτει|ἀστράπτω
τίει|τίω
φανήμεναι|φαίνω
ἀποκόψειν|ἀποκόπτω
ἄκρα|ἄκρος
κόρυμβα|κόρυμβος
ἐμπρήσειν|ἐμπρήθω
μαλεροῦ|μαλερός
δῃώσειν|δηιόω
ἀπειλὰς|ἀπειλή
ἐκτελέσωσι|ἐκτελέω
μέμονάς|μέμονα
ὀψέ|ὀψέ
μετόπισθ̓|μετόπισθε
ῥεχθέντος|ῥέζω
ἄκος|ἄκος
εὑρεῖν|εὑρίσκω
φράζευ|φράζω
ἀλεξήσεις|ἀλέξω
δώσουσ̓|δίδωμι
φιλοφροσύνη|φιλοφροσύνη
ληγέμεναι|λήγω
τίωσ̓|τίω
παύἐ|παύω
ἕλες|αἱρέω
ἐξέλεθ̓|ἐξαιρέω
ὀμεῖται|ὄμνυμι
νηήσασθαι|νηέω
ἔοις|εἰμί
τίσει|τίω
Παναχαιοὺς|Παναχαιοί
τίσουσ̓|τίω
λύσσαν|λύσσα
ὀλοήν|ὀλοός
ἀπηλεγέως|ἀπηλεγέως
ἀποειπεῖν|ἀπεῖπον
τρύζητε|τρύζω
ἐχθρὸς|ἐχθρός
κεύθῃ|κεύθω
ἔμεγ̓|ἐγώ
κάτθαν̓|καταθνήσκω
ἀεργὸς|ἀεργός
ἐοργώς|ἔρδω
περίκειται|περίκειμαι
παραβαλλόμενος|παραβάλλω
ἀπτῆσι|ἀπτήν
νεοσσοῖσι|νεοσσός
προφέρῃσι|προφέρω
μάστακ̓|μάσταξ
λάβῃσι|λαμβάνω
ἀΰπνους|ἄυπνος
ἴαυον|ἰαύω
ὀάρων|ὄαρ
σφετεράων|σφέτερος
ἀλάπαξ̓|ἀλαπάζω
ἕνδεκά|ἕνδεκα
δόσκον|δίδωμι
δασάσκετο|δατέομαι
ἀριστήεσσι|ἀριστεύς
βασιλεῦσι|βασιλεύς
μούνου|μόνος
εἵλετ̓|αἱρέω
θυμαρέα|θυμαρής
παριαύων|παριαύω
τερπέσθω|τέρπω
δεῖ|δεῖ
πολεμιζέμεναι|πολεμίζω
φιλέουσ̓|φιλέω
ἐχέφρων|ἐχέφρων
φιλέει|φιλέω
φίλεον|φιλέω
δουρικτητήν|δορίκτητος
ἀπάτησε|ἀπατάω
εἰδότος|οἶδα
πείσει|πείθω
πονήσατο|πονέω
ἔδειμε|δέμω
ἐθέλεσκε|ἐθέλω
ὀρνύμεν|ὄρνυμι
νηήσας|νηέω
προερύσσω|προερύω
ἦρι|ἦρι
πλεούσας|πλέω
ἐρεσσέμεναι|ἐρέσσω
εὐπλοίην|εὔπλοια
ἤματί|ἦμαρ
κάλλιπον|καταλείπω
ἄξομαι|ἄγω
ἔλαχόν|λαγχάνω
ἐφυβρίζων|ἐφυβρίζω
ἐπισκύζωνται|ἐπισκύζομαι
ἐξαπατήσειν|ἐξαπατάω
ἐπιειμένος|ἐπιέννυμι
τετλαίη|τλάω
κύνεός|κύνεος
συμφράσσομαι|συμφράζομαι
ἤλιτεν|ἀλιταίνω
ἐξαπάφοιτ̓|ἐξαπαφίσκω
ἐχθρὰ|ἐχθρός
καρὸς|κάρ
εἰκοσάκις|εἰκοσάκις
ποτινίσεται|ποτινίσσομαι
Αἰγυπτίας|Αἰγύπτιος
ἑκατόμπυλοί|ἑκατόμπυλος
διηκόσιοι|διακόσιοι
ἑκάστας|ἕκαστος
ἐξοιχνεῦσι|ἐξοιχνέω
ψάμαθός|ψάμαθος
πείσεἰ|πείθω
γαμέω|γαμέω
κάλλος|κάλλος
ἐρίζοι|ἐρίζω
ἰσοφαρίζοι|ἰσοφαρίζω
σαῶσι|σώζω
μάσσεται|μαίομαι
ἀριστήων|ἀριστεύς
ῥύονται|ῥύομαι
ποιήσομ̓|ποιέω
γήμαντα|γαμέω
μνηστὴν|μνηστός
ἐϊκυῖαν|εἰκός
τέρπεσθαι|τέρπω
ἐκτήσατο|κτάομαι
ἐκτῆσθαι|κτέομαι
λάϊνος|λάινος
οὐδὸς|οὐδός
ἀφήτορος|ἀφήτωρ
Πυθοῖ|Πυθοῖ
πετρηέσσῃ|πετρήεις
ληϊστοὶ|ληιστός
κτητοὶ|κτητός
τρίποδές|τρίπους
ξανθὰ|ξανθός
λεϊστὴ|λειστός
ἑλετή|ἑλετός
ἀμείψεται|ἀμείβω
διχθαδίας|διχθάδιος
ἀμφιμάχωμαι|ἀμφιμάχομαι
ἵκωμι|ἱκνέομαι
ἀποπλείειν|ἀποπλέω
δήετε|δήω
ὑπερέσχε|ὑπερέχω
τεθαρσήκασι|θαρσέω
ἀπόφασθε|ἀπόφημι
φράζωνται|φράζω
σαῷ|σώζω
γλαφυρῇς|γλαφυρός
ἥδέ|ὅδε
ἑτοίμη|ἑτοῖμος
ἐφράσσαντο|φράζω
κατακοιμηθήτω|κατακοιμάω
ἕπηται|ἕπομαι
ἀπέειπεν|ἀπεῖπον
ἀναπρήσας|ἀναπρήθω
λιποίμην|λείπω
εἰδόθ̓|οἶδα
ἀγορέων|ἀγορά
ἀριπρεπέες|ἀριπρεπής
διδασκέμεναι|διδάσκω
ῥητῆῤ|ῥητήρ
πρηκτῆρά|πρακτήρ
λείπεσθ̓|λείπω
ὑποσταίη|ὑφίστημι
ἀποξύσας|ἀποξύω
ἡβώοντα|ἡβάω
παλλακίδος|παλλακίς
καλλικόμοιο|καλλίκομος
ἀτιμάζεσκε|ἀτιμάζω
μητέῤ|μήτηρ
λισσέσκετο|λίσσομαι
παλλακίδι|παλλακίς
προμιγῆναι|προμίγνυμι
ἐχθήρειε|ἐχθαίρω
ἔρεξα|ῥέζω
ὀϊσθεὶς|οἴομαι
κατηρᾶτο|καταράομαι
στυγερὰς|στυγερός
ἐπεκέκλετ̓|ἐπικέλομαι
Ἐρινῦς|Ἐρινύς
ἐφέσσεσθαι|ἐπιέννυμι
γεγαῶτα|γίγνομαι
ἐπαρὰς|ἐπαρά
καταχθόνιος|καταχθόνιος
ἐπαινὴ|ἐπαινός
Περσεφόνεια|Περσεφόνεια
μέγαρα|μέγαρον
στρωφᾶσθαι|στρωφάω
ἀνεψιοὶ|ἀνεψιός
κατερήτυον|κατερητύω
ἔσφαζον|σφάζω
σύες|ὗς
κεράμων|κέραμος
πίνετο|πίνω
εἰνάνυχες|εἰνάνυχες
ἀμειβόμενοι|ἀμείβω
ἔσβη|σβέννυμι
εὐερκέος|εὐερκής
ἐξῆλθον|ἐξέρχομαι
ἑρκίον|ἑρκίον
φύλακάς|φύλαξ
δμῳάς|δμωή
Ἑλλάδος|Ἑλλάς
εὐρυχόροιο|εὐρύχορος
ἐξικόμην|ἐξικνέομαι
Πηλῆα|Πηλεύς
ἄναχθ̓|ἄναξ
ὑπέδεκτο|ὑποδέχομαι
ἐφίλησ̓|φιλέω
Δολόπεσσιν|Δόλοψ
ἔθηκα|τίθημι
φιλέων|φιλέω
ἐθέλεσκες|ἐθέλω
καθίσσας|καθίζω
ὄψου|ὄψον
ἄσαιμι|ἄω
προταμὼν|προτέμνω
ἐπισχών|ἐπέχω
κατέδευσας|καταδεύω
ἀποβλύζων|ἀποβλύζω
νηπιέῃ|νηπιέη
ἐξετέλειον|ἐκτελέω
ποιεύμην|ποιέω
δάμασον|δαμάζω
στρεπτοὶ|στρεπτός
θυέεσσι|θύος
εὐχωλῇς|εὐχωλή
ἀγανῇσι|ἀγανός
λοιβῇ|λοιβή
παρατρωπῶσ̓|παρατρωπάω
ὑπερβήῃ|ὑπερβαίνω
ἁμάρτῃ|ἁμαρτάνω
λιταί|λιτή
χωλαί|χωλός
ῥυσαί|ῥυσός
παραβλῶπές|παραβλώψ
ὀφθαλμώ|ὀφθαλμός
ἀλέγουσι|ἀλέγω
κιοῦσαι|κίω
σθεναρή|σθεναρός
ἀρτίπος|ἀρτίπος
ὑπεκπροθέει|ὑπεκπροθέω
ἐξακέονται|ἐξακέομαι
κούρας|κόρη
ὤνησαν|ὀνίνημι
εὐχομένοιο|εὔχομαι
ἀνήνηται|ἀναίνομαι
ἀποείπῃ|ἀπεῖπον
λίσσονται|λίσσομαι
κούρῃσιν|κόρη
ἐπιγνάμπτει|ἐπιγνάμπτω
ὄπισθ̓|ὄπισθεν
ὀνομάζοι|ὀνομάζω
ἐπιζαφελῶς|ἐπιζάφελος
χαλεπαίνοι|χαλεπαίνω
ἀπορρίψαντα|ἀπορρίπτω
χατέουσί|χατέω
διδοῖ|δίδωμι
ἐπιπροέηκεν|ἐπιπροίημι
Ἀχαιϊκόν|Ἀχαιικός
ἐλέγξῃς|ἐλέγχω
ἐπευθόμεθα|πεύθομαι
ἐπιζάφελος|ἐπιζάφελος
δωρητοί|δωρητός
πέλοντο|πέλω
παράρρητοί|παραρρητός
Κουρῆτές|Κουρῆτες
Αἰτωλοὶ|Αἰτωλός
μενεχάρμαι|μενεχάρμης
Καλυδῶνα|Καλυδών
Καλυδῶνος|Καλυδών
ἐραννῆς|ἐραννός
Κουρῆτες|Κουρῆτες
θαλύσια|θαλύσια
ῥέξ̓|ῥέζω
δαίνυνθ̓|δαίνυμι
οἴῃ|οἶος
λάθετ̓|λανθάνω
χλούνην|χλούνης
ἀργιόδοντα|ἀργιόδους
ἕρδεσκεν|ἔρδω
ἔθων|ἔθω
προθέλυμνα|προθέλυμνος
αὐτῇσιν|αὐτός
ῥίζῃσι|ῥίζα
ἄνθεσι|ἄνθος
ἀπέκτεινεν|ἀποκτείνω
θηρήτορας|θηράτωρ
παύροισι|παῦρος
ἐπέβησ̓|ἐπιβαίνω
ἀϋτὴν|ἀυτή
δέρματι|δέρμα
λαχνήεντι|λαχνήεις
Κουρήτων|Κουρῆτες
Κουρήτεσσι|Κουρῆτες
Μελέαγρον|Μελέαγρος
οἰδάνει|οἰδάνω
Ἀλθαίῃ|Ἀθλαία
μνηστῇ|μνηστός
Κλεοπάτρῃ|Κλεοπάτρη
Μαρπήσσης|Μάρπησσα
Εὐηνίνης|Εὐηνίνη
Ἴδεώ|Ἴδης
νύμφης|νύμφη
Ἀλκυόνην|Ἀλκυόνη
καλέεσκον|καλέω
ἐπώνυμον|ἐπώνυμος
ἀλκυόνος|ἀλκυών
πολυπενθέος|πολυπενθής
ἀνήρπασε|ἀναρπάζω
παρκατέλεκτο|παραλέγω
πέσσων|πέσσω
ἀρέων|ἄρος
ἀχέουσ̓|ἀχεύω
πολυφόρβην|πολύφορβος
ἀλοία|ἀλοάω
κικλήσκουσ̓|κικλήσκω
Ἀΐδην|Ἀΐδης
ἐπαινὴν|ἐπαινός
Περσεφόνειαν|Περσεφόνεια
καθεζομένη|καθέζομαι
κόλποι|κόλπος
Ἐρινὺς|Ἐρινύς
Ἐρέβεσφιν|Ἔρεβος
ἀμείλιχον|ἀμείλιχος
ἱερῆας|ἱερεύς
ὁππόθι|ὁπόθι
πιότατον|πῖος
ἤνωγον|ἄνωγα
πεντηκοντόγυον|πεντηκοντόγυος
οἰνοπέδοιο|οἰνόπεδος
ψιλὴν|ψιλός
ἄροσιν|ἄροσις
ταμέσθαι|τέμνω
λιτάνευε|λιτανεύω
οὐδοῦ|οὐδός
ἐπεμβεβαὼς|ἐπεμβαίνω
ὑψηρεφέος|ὑψηρεφής
κολλητὰς|κολλητός
ἐλλίσσονθ̓|λίσσομαι
κεδνότατοι|κεδνός
πύκ̓|πύκα
ἐνέπρηθον|ἐμπρήθω
ἐΰζωνος|εὔζωνος
λίσσετ̓|λίσσομαι
κατέλεξεν|καταλέγω
κτείνουσι|κτείνω
ἀμαθύνει|ἀμαθύνω
βαθυζώνους|βαθύζωνος
ὠρίνετο|ὀρίνω
ἀκούοντος|ἀκούω
ἀπήμυνεν|ἀπαμύνω
τέλεσσαν|τελέω
νόει|νοέω
ἐνταῦθα|ἐνταῦθα
τρέψειε|τρέπω
κάκιον|κακός
καιομένῃσιν|καίω
τίσουσιν|τίω
δύῃς|δύω
οὐκέθ̓|οὐκέτι
ἀλαλκών|ἄλαλκε
φιλέειν|φιλέω
ἀπέχθηαι|ἀπεχθάνομαι
φιλέοντι|φιλέω
κήδῃ|κήδω
βασίλευε|βασιλεύω
μείρεο|μείρομαι
ἀγγελέουσι|ἀγγέλλω
λέξεο|λέγω
μίμνων|μίμνω
φρασσόμεθ̓|φράζω
νεώμεθ̓|νέομαι
ἡμέτεῤ|ἡμέτερος
μένωμεν|μένω
νόστοιο|νόστος
μεδοίατο|μέδομαι
τῇδέ|ὅδε
κρανέεσθαι|κραίνω
ἀπαγγεῖλαι|ἀπαγγέλλω
μετατρέπεται|μετατρέπομαι
νηλής|νηλής
ἀποτίσας|ἀποτίνω
ἐρητύεται|ἐρητύω
δεξαμένῳ|δείκνυμι
ἄληκτόν|ἄληκτος
οἴης|οἶος
παρίσχομεν|παρίσχω
ἀρίστας|ἄριστος
ἵλαον|ἴλαος
αἴδεσσαι|αἰδέομαι
ὑπωρόφιοι|ὑπωρόφιος
πληθύος|πληθύς
κήδιστοί|κήδιστος
πάντά|πα~ς
ἐείσαο|εἴδομαι
οἰδάνεται|οἰδάνω
μνήσομαι|μιμνήσκω
ἔρχεσθε|ἔρχομαι
μεδήσομαι|μέδομαι
κτείνοντ̓|κτείνω
σμῦξαι|σμύχω
σπείσαντες|σπένδω
δμωῇσι|δμωή
ἐπιπειθόμεναι|ἐπιπείθομαι
κώεά|κῶας
ῥῆγός|ῥῆγος
λίνοιό|λίνον
λεπτὸν|λεπτός
ἄωτον|ἄωτον
κατέλεκτο|καταλέγω
ἔμιμνεν|μίμνω
εὐπήκτου|εὔπηκτος
Λεσβόθεν|Λεσβόθεν
Διομήδη|Διομήδη
ἐλέξατο|λέγω
Ἶφις|Ἶφις
Σκῦρον|Σκῦρος
αἰπεῖαν|αἰπύς
Ἐνυῆος|Ἐνυεύς
κυπέλλοις|κύπελλον
ἐξερέεινεν|ἐξερεείνω
πιμπλάνεται|πιμπλάνομαι
ἀναίνεται|ἀναίνομαι
φράζεσθαι|φράζω
σαῷς|σώζω
παραμυθήσασθαι|παραμυθέομαι
κατελέξατο|καταλέγω
ἀγόρευσε|ἀγορεύω
διδούς|δίδωμι
ἀγηνορίῃσιν|ἀγηνορία
ἐνῆκας|ἐνίημι
ἴῃσιν|εἶμι
κοιμήσασθε|κοιμάω
τεταρπόμενοι|τέρπω
φανῇ|φαίνω
ἄνδρα|ἀνήρ
ἔννεπε|ἐνέπω
μοῦσα|Μοῦσα
πολύτροπον|πολύτροπος
ὃς|ὅς
μάλα|μάλα
πολλὰ|πολύς
πλάγχθη|πλάζω
Τροίης|Τροία
ἱερὸν|ἱερός
πτολίεθρον|πτολίεθρον
ἔπερσεν|πέρθω
·|·
πολλῶν|πολύς
δ̓|δέ
ἀνθρώπων|ἄνθρωπος
ἴδεν|εἶδον
ἄστεα|ἄστυ
νόον|νόος
ἔγνω|γιγνώσκω
γ̓|γε
πόντῳ|πόντος
πάθεν|πάσχω
ἄλγεα|ἄλγος
ὃν|ὅς
κατὰ|κατά
θυμόν|θυμός
ἀρνύμενος|ἄρνυμαι
ἥν|ὅς
ψυχὴν|ψυχή
νόστον|νόστος
ἑταίρων|ἑταῖρος
ἀλλ̓|ἀλλά
οὐδ̓|οὐδέ
ἑτάρους|ἑταῖρος
ἐρρύσατο|ῥύομαι
ἱέμενός|ἵημι
περ|πέρ
αὐτῶν|αὐτός
σφετέρῃσιν|σφέτερος
ἀτασθαλίῃσιν|ἀτασθαλία
ὄλοντο|ὄλλυμι
νήπιοι|νήπιος
βοῦς|βοῦς
Ὑπερίονος|Ὑπερίων
Ἠελίοιο|ἠέλιος
ἤσθιον|ἐσθίω
ἀφείλετο|ἀφαιρέω
νόστιμον|νόστιμος
ἦμαρ|ἦμαρ
ἁμόθεν|ἁμόθεν
θεά|θεά
θύγατερ|θυγάτηρ
Διός|Ζεύς
εἰπὲ|εἶπον
ἡμῖν|ἐγώ
ἔνθ̓|ἔνθα
ἄλλοι|ἄλλος
πάντες|πᾶς
ὅσοι|ὅσος
φύγον|φεύγω
αἰπὺν|αἰπύς
ὄλεθρον|ὄλεθρος
οἴκοι|οἴκοι
ἔσαν|εἰμί
πόλεμόν|πόλεμος
πεφευγότες|φεύγω
ἠδὲ|ἠδέ
θάλασσαν|θάλασσα
οἶον|οἶος
νόστου|νόστος
κεχρημένον|χράω
γυναικὸς|γυνή
νύμφη|νύμφη
πότνἰ|πότνια
ἔρυκε|ἐρύκω
Καλυψὼ|Καλυψώ
δῖα|δῖος
θεάων|θεά
σπέσσι|σπέος
γλαφυροῖσι|γλαφυρός
λιλαιομένη|λιλαίομαι
πόσιν|πόσις
εἶναι|εἰμί
ὅτε|ὅτε
ἔτος|ἔτος
ἦλθε|ἔρχομαι
περιπλομένων|περιπέλομαι
ἐνιαυτῶν|ἐνιαυτός
ἐπεκλώσαντο|ἐπικλώθω
θεοὶ|θεός
οἶκόνδε|οἶκόνδε
νέεσθαι|νέομαι
Ἰθάκην|Ἰθάκη
ἔνθα|ἔνθα
πεφυγμένος|φεύγω
ἦεν|εἰμί
ἀέθλων|ἆθλος
μετὰ|μετά
οἷσι|ὅς
φίλοισι|φίλος
ἐλέαιρον|ἐλεαίρω
ἅπαντες|ἅπας
νόσφι|νόσφι
Ποσειδάωνος|Ποσειδεών
ἀσπερχὲς|ἀσπερχές
μενέαινεν|μενεαίνω
ἀντιθέῳ|ἀντίθεος
Ὀδυσῆι|Ὀδυσσεύς
πάρος|πάρος
ἣν|ὅς
γαῖαν|γαῖα
ἱκέσθαι|ἱκνέομαι
Αἰθίοπας|Αἰθίοψ
μετεκίαθε|μετακιάθω
τηλόθ̓|τηλόθι
ἐόντας|εἰμί
τοὶ|ὁ
διχθὰ|διχθά
δεδαίαται|δαίω
ἔσχατοι|ἔσχατος
ἀνδρῶν|ἀνήρ
δυσομένου|δύω
ἀνιόντος|ἄνειμι
ἀντιόων|ἀντιάω
ταύρων|ταῦρος
ἀρνειῶν|ἀρνειός
ἑκατόμβης|ἑκατόμβη
ἐτέρπετο|τέρπω
δαιτὶ|δαίς
παρήμενος|ἧμαι
Ζηνὸς|Ζεύς
ἐνὶ|ἐν
μεγάροισιν|μέγαρον
Ὀλυμπίου|Ὀλύμπιος
ἁθρόοι|ἀθρόος
ἦσαν|εἰμί
μύθων|μῦθος
ἦρχε|ἄρχω
πατὴρ|πατήρ
θεῶν|θεός
μνήσατο|μιμνήσκω
θυμὸν|θυμός
ἀμύμονος|ἀμύμων
Αἰγίσθοιο|Αἴγισθος
ῥ̓|ἄρα
Ἀγαμεμνονίδης|Ἀγαμεμνονίδης
τηλεκλυτὸς|τηλεκλυτός
ἔκταν̓|κτείνω
Ὀρέστης|Ὀρέστης
ἐπιμνησθεὶς|ἐπιμιμνήσκομαι
ἔπἐ|ἔπος
ἀθανάτοισι|ἀθάνατος
μετηύδα|μεταυδάω
"|"
πόποι|πόποι
οἷον|οἷος
νυ|νῦν
θεοὺς|θεός
βροτοὶ|βροτός
αἰτιόωνται|αἰτιάομαι
ἐξ|ἐκ
ἡμέων|ἐγώ
φασι|φημί
κάκ̓|κάκη
ἔμμεναι|εἰμί
αὐτοὶ|αὐτός
σφῇσιν|σφός
ὑπὲρ|ὑπέρ
μόρον|μόρος
ἄλγἐ|ἄλγος
ἔχουσιν|ἔχω
Αἴγισθος|Αἴγισθος
Ἀτρεΐδαο|Ἀτρείδης
γῆμ̓|γαμέω
ἄλοχον|ἄλοχος
μνηστήν|μνηστός
ἔκτανε|κτείνω
νοστήσαντα|νοστέω
εἰδὼς|οἶδα
πρό|πρό
εἴπομεν|εἶπον
ἡμεῖς|ἐγώ
Ἑρμείαν|Ἑρμῆς
πέμψαντες|πέμπω
ἐύσκοπον|εὔσκοπος
ἀργεϊφόντην|Ἀργειφόντης
μήτ̓|μήτε
αὐτὸν|αὐτός
κτείνειν|κτείνω
μήτε|μήτε
μνάασθαι|μνάομαι
ἄκοιτιν|ἄκοιτις
Ὀρέσταο|Ὀρέστης
τίσις|τίσις
ἔσσεται|εἰμί
ὁππότ̓|ὁπότε
ἂν|ἄν
ἡβήσῃ|ἡβάω
ἧς|ὅς
ἱμείρεται|ἱμείρω
αἴης|αἶα
ἔφαθ̓|φημί
Ἑρμείας|Ἑρμῆς
φρένας|φρήν
πεῖθ̓|πείθω
ἀγαθὰ|ἀγαθός
